Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","Number of Channels","Connector Type","Mounting Type"
http://www.crydom.com/en/products/catalog/p_b24m.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB24MD-ND,PB-24MD,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","24","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24m.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB24MV-ND,PB-24M-V,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","24","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24sm.pdf,-,PB24SMA-ND,PB-24SM-A,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","24","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24sm.pdf,-,PB24SMB-ND,PB-24SM-B,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","24","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24sm.pdf,-,PB24SMBC-ND,PB-24SM-BC,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","24","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24sm.pdf,-,PB24SMC-ND,PB-24SM-C,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","24","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24sm.pdf,-,PB24SMV-ND,PB-24SM-V,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","24","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB24V-ND,PB-24-V,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Standard","24","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b32d.pdf,-,PB32D-ND,PB-32D,Sensata-Crydom,I/O MODULE RACK 32 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Standard","32","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crouzet-ssr.com/english/products/download/PB32HQ.pdf,-,PB32HQ-ND,PB-32HQ,Sensata-Crydom,I/O MODULE RACK 32 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Quad","32","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b32m.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB32M-ND,PB-32M,Sensata-Crydom,I/O MODULE RACK 32 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","32","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b32m.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB32MC-ND,PB-32M-C,Sensata-Crydom,I/O MODULE RACK 32 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","32","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b32sm.pdf,-,PB32SM-ND,PB-32SM,Sensata-Crydom,I/O MODULE RACK 32 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","32","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b8c4.pdf,-,PB8C4-ND,PB-8C4,Sensata-Crydom,I/O MODULE RACK 8 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","C4","8","Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b8h.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB8H-ND,PB-8H,Sensata-Crydom,I/O MODULE RACK 8 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Standard","8","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b8m.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB8M-ND,PB-8M,Sensata-Crydom,I/O MODULE RACK 8 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","8","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b8m.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB8MC-ND,PB-8M-C,Sensata-Crydom,I/O MODULE RACK 8 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","8","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b8m.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB8MV-ND,PB-8M-V,Sensata-Crydom,I/O MODULE RACK 8 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","8","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b8sm.pdf,-,PB8SMB-ND,PB-8SM-B,Sensata-Crydom,I/O MODULE RACK 8 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","8","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b8sm.pdf,-,PB8SMC-ND,PB-8SM-C,Sensata-Crydom,I/O MODULE RACK 8 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","8","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b8sm.pdf,-,PB8SMV-ND,PB-8SM-V,Sensata-Crydom,I/O MODULE RACK 8 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","8","Header, Screw Terminal Blocks","Standoffs"
