Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Length","Specifications","Wire Gauge","Shielding","Style"
http://cnctech.us/pdfs/102-1020-BL-00300.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1020-BL%20SERIES.jpg,1175-1075-ND,102-1020-BL-00300,CNC Tech,CABLE USB A MALE-A MALE 3M BLK,956,0,"4.50000","0","1","-","Active","A Male to A Male","9.84' (3.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://www.tensility.com/pdffiles/10-00650.pdf,//media.digikey.com/Photos/Tensility%20Intl/MFG_10-00650.jpg,839-1106-ND,10-00650,Tensility International Corp,CBL USB A RCPT-MCR B PLUG 100MM,3583,0,"4.68000","0","1","-","Active","A Female to Micro B Male","0.33' (100.0mm)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7131_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AK672M%20-%20FIG%2039.jpg,AE1452-ND,AK672M/2-5,Assmann WSW Components,CABLE MINI USB 5PIN 5M 2.0 VERS,4528,0,"4.69000","0","1","-","Active","A Male to Mini B Male","16.40' (5.00m)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
http://www.tensility.com/pdffiles/10-00649.pdf,//media.digikey.com/Photos/Tensility%20Intl/MFG_10-00649.jpg,839-1105-ND,10-00649,Tensility International Corp,CBL USB A RCPT-MCR A PLUG 100MM,2586,0,"4.69000","0","1","-","Active","A Female to Micro A Male","0.33' (100.0mm)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
https://assets.tripplite.com/product-pdfs/en/u024006.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U024-0xx%20Series.jpg,TL776-ND,U024-006,Tripp Lite,CABLE USB 2.0 EXTENSION A M/F 6',1980,0,"4.70000","0","1","-","Active","A Female to A Male","6.00' (1.83m)","USB 2.0","24 AWG, 28 AWG","Shielded","Extension Cable"
http://cnctech.us/pdfs/102-1092-BL-00100.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1092-BL%20SERIES.jpg,1175-1128-ND,102-1092-BL-00100,CNC Tech,CABLE USB A MALE-B MICRO MALE 1M,6368,0,"4.75000","0","1","-","Active","A Male to Micro B Male","3.28' (1.00m)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
http://www.qualtekusa.com/images/Cable%20Assemblies/PDF_2/3021015-10.pdf,//media.digikey.com/Photos/Qualtek%20Photos/3021015-10.JPG,Q368-ND,3021015-10,Qualtek,CBL USB A-MNI B CON 10' 26/28AWG,3713,11117,"4.80000","0","1","-","Active","A Male to Mini B Male","10.00' (3.05m)","USB 2.0","26 AWG, 28 AWG","Shielded","-"
http://www.qualtekusa.com/images/Cable%20Assemblies/PDF_2/3021013-10.pdf,//media.digikey.com/photos/Qualtek%20Photos/3021013-10.JPG,Q367-ND,3021013-10,Qualtek,CBL USB A-B CON 10' 26/28 AWG,2316,0,"4.80000","0","1","-","Active","A Male to B Male","10.00' (3.05m)","USB 2.0","26 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7066_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/AK672%5E2-2-R.jpg,AE9933-ND,AK672/2-5,Assmann WSW Components,CABLE USB A-B MALE 5M 2.0 VERS,3327,0,"4.82000","0","1","-","Active","A Male to B Male","16.40' (5.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://cnctech.us/pdfs/102-1292-BL-00050.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1292-BL-00050.jpg,1175-1452-ND,102-1292-BL-00050,CNC Tech,CABLE USB A M-B MCR0 .5M/FERRITE,2269,0,"4.88000","0","1","-","Active","A Male to Micro B Male, Right Angle","1.64' (500.0mm)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://www.cnctech.us/pdfs/102-1492-BL-F0100.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1492-BL-xx.jpg,1175-1809-ND,102-1492-BL-F0100,CNC Tech,CBL USB-A TO MICRO-B 1M W/FRRT,1022,0,"4.88000","0","1","-","Active","A Male to Micro B Male","3.28' (1.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7091_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AK67421-x-R.jpg,AE10342-ND,AK67421-2,Assmann WSW Components,CABLE USB-A TO MICRO USB-B 2M,7201,0,"4.99000","0","1","-","Active","A Male to Micro B Male","6.56' (2.00m)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7722_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AK67401-x-R.jpg,AE10422-ND,AK67401-0.5,Assmann WSW Components,CABLE MICRO USB-B M-M 0.5M,1550,0,"5.08000","0","1","-","Active","Micro B Male to Micro B Male","1.64' (500.0mm)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
