Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6002-EV-ND,ADNB-6002-EV,Broadcom Limited,OPT SENS BUNDLE W/A-6000 TL CLIP,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-6001-EV-ND,ADNB-6001-EV,Broadcom Limited,OPT SENS BUNDLE W/A-6000 RL CLIP,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-2032-ND,ADNB-2032,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","3000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3061-ND,ADNB-3061,Broadcom Limited,OPTICAL SENSOR WITH ROUND LENS,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3062-ND,ADNB-3062,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","2000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3062-TLP-ND,ADNB-3062-TLP,Broadcom Limited,OPT SENSOR TRIM LENS P BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3061-RLK-ND,ADNB-3061-RLK,Broadcom Limited,OPT SENSOR ROUND LENS K BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3062-TLK-ND,ADNB-3062-TLK,Broadcom Limited,OPT SENSOR TRIM LENS K BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3061-RLP-ND,ADNB-3061-RLP,Broadcom Limited,OPT SENSOR ROUND LENS P BIN LED,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
"//media.digikey.com/pdf/Data Sheets/Avago PDFs/ADN(B,K,S)-yyyy.pdf",-,ADNB-3082-ND,ADNB-3082,Broadcom Limited,OPTICAL SENSOR WITH TRIMMED LENS,0,0,"Obsolete","0","1000","-","-","Obsolete","-","-"
