Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Accessory Type","Temperature Range","Voltage","Current","Power - Rated","Includes","For Use With/Related Products","Compatible Tools","Features","Approval Marks","Approved Countries","Nozzle Opening","Air Flow","Color"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/IR_1759.pdf,-,NAE-109-2-ND,NAE-109-2,TE Connectivity Raychem Cable Protection,NAE-109-2,0,0,"77.10000","0","23","MiniRay","Active","-","Lamp - Holder","-","-","-","-","-","-","IR-1759, IR-3104","-","-","-","-","-","-"
-,-,MA35446-ND,35446,Master Appliance Co,"HEATING ELEMENT KIT, 120V, W/MIC",0,0,"79.29000","0","1","Proheat® STC PH","Active","-","Heating Element Kit","-","120V","-","-","-","-","-","-","-","-","-","-","-"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Varitemp-Heat-Gun-Instruction-Manual-58222.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_30583.JPG,30583-ND,30583,Master Appliance Co,"HEAT CONTROL, DIAL AND KNOB KIT,",0,0,"80.30000","0","1","Varitemp® VT","Active","-","Heat Control Kit","-","220/240V","-","-","-","-","VTS-752, VT-752C","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773447-9_SEC2_APPL_EQUIPMENT&DocType=CS&DocLang=English,-,TG-12/A-160-HG-RFL-SMALL-ND,TG-12/A-160-HG-RFL-SMALL,TE Connectivity Raychem Cable Protection,ATTACHMENT REFLECTOR SMALL,0,0,"81.00000","0","19","ThermoGun HG","Active","-","Nozzle, Reflector","-","-","-","-","-","Heat Shrink Tubing up to 0.75"" Dia","HG-501A, HG-502A, HG-752A","-","-","-","-","-","Silver"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_30582.jpg,30582-ND,30582,Master Appliance Co,HEAT CNTRL REPLACEMENT KIT 120V,0,0,"83.79000","0","1","Varitemp® VT","Active","-","Heat Control Kit","-","120V","-","-","-","-","VT-750C, VTS-750","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SCD-N861&DocType=Customer+Drawing&DocLang=English,-,AD-1460-ACD-HEAT-SHLDGPAD-ND,AD-1460-ACD-HEAT-SHLDGPAD,TE Connectivity Raychem Cable Protection,HEAT SHIELDING PAD,0,0,"84.85000","0","1","-","Active","-","Shielding Pad","-","-","-","-","-","Torches","-","12"" x 40"", Corner Grommets, Heat-Resistant Fabric","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HL-ADPT-PR-REFLECTORS&DocType=Customer+Drawing&DocLang=English,-,EH0598-000-ND,EH0598-000,TE Connectivity Raychem Cable Protection,HL-ADPT-PR-REFLECTORS,0,0,"87.94500","0","22","-","Active","-","Nozzle Adapter","-","-","-","-","-","PR Series Reflectors","HL1920E, HL2020E","-","-","-","-","-","-"
-,-,MA35451-ND,35451,Master Appliance Co,"HEATING ELEMENT KIT, 230V, W/MIC",0,0,"88.32000","0","1","Proheat® STC PH","Active","-","Heating Element Kit","-","230V","-","-","-","-","-","-","-","-","-","-","-"
-,-,1-2280624-6-ND,1-2280624-6,TE Connectivity AMP Connectors,"MCR, 4 POLE, 220VAC",0,0,"88.40000","0","1","Model 17","Active","-","Relay","-","220V","-","-","-","2280355-1, 2280355-2","Model 17 Belt Heaters","-","-","-","-","-","-"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf#page=34,-,110038643-ND,110038643,Steinel America,FLEX VAC UP ARM FOR XX10 HG,0,0,"90.12000","0","1","-","Active","-","Arm","-","-","-","-","-","-","HG2000E, HG2310LCD, HG2310BB, HG2510ESD, HL1810S, HL1910E, HL2010E","-","-","-","-","-","Black"
