Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Accessory Type","Temperature Range","Voltage","Current","Power - Rated","Includes","For Use With/Related Products","Compatible Tools","Features","Approval Marks","Approved Countries","Nozzle Opening","Air Flow","Color"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/IR_1759.pdf,//media.digikey.com/Photos/TE%20Connectivity/AES-IR1759-100-FILTER-DUL.JPG,A132425-ND,AES-IR1759-100-FILTER-DUL,"TE Connectivity Aerospace, Defense and Marine",AES-IR1759-100-FILTER-DUL,3,0,"278.15000","0","1","MiniRay","Active","-","Filter","-","-","-","-","-","-","IR-1759","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master_European_Cat_2016.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2400K.jpg,MA1055-ND,PH-2400K-A1,Master Appliance Co,PROHEAT LCD DIAL-IN HEAT GUN KIT,5,0,"316.58000","0","1","Proheat® LCD PH","Active","Heat Gun Kit","-","130°F ~ 1000°F (50°C ~ 540°C)","230V","6.2A","1426W","Heat Gun, Case, 5 Nozzles","-","-","6' Cord, Built-in Base, Safety Lock, Variable LCD Airflow and Temperature Controls/Display with Lock-In","CE","Europe, India","Circular - 0.88"" (22.35mm)","4.0 CFM ~ 16.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2615-Ax.jpg,MA1061-ND,PH-2615-A1,Master Appliance Co,"PROHEAT STC HEAT GUN, 230V, 5 ME",5,0,"481.88000","0","1","Proheat® STC PH","Active","Heat Gun","-","80°F ~ 540°F (40°C ~ 282°C)","230V","6.8A","1564W","Heat Gun, Proloc™ Magnetic Key","-","-","6' Cord, LED Indicators, Surface Laser Temp Sensor/Display, Variable Airflow and Temperature Controls with Lock-In","CE","Europe, India","Circular - 0.88"" (22.35mm)","4.0 CFM ~ 16.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2615-Ax.jpg,MA1062-ND,PH-2615-A6,Master Appliance Co,"PROHEAT STC HEAT GUN KIT, 230V,",5,0,"481.88000","0","1","Proheat® STC PH","Active","Heat Gun","-","80°F ~ 540°F (40°C ~ 282°C)","230V","6.8A","1564W","Heat Gun, Proloc™ Magnetic Key","-","-","6' Cord, LED Indicators, Surface Laser Temp Sensor/Display, Variable Airflow and Temperature Controls with Lock-In","CE","Hong Kong, Singapore, United Kingdom","Circular - 0.88"" (22.35mm)","4.0 CFM ~ 16.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/IR_1759.pdf,//media.digikey.com/Photos/TE%20Connectivity/IR1759-MK4%5EA.jpg,A132455-ND,IR1759-MK4/A,"TE Connectivity Aerospace, Defense and Marine",IR1759-MK4/A,2,0,"2794.34000","0","1","MiniRay","Active","Infrared Heater, Hand-Held","-","932°F (500°C)","21.5V","-","-","Infrared Heater","Infrared Repair Tubing, Shield Terminators and Splicing Products up to 6mm Dia","-","10.2' Cord, 250W Halogen Lamp, Standard Aperture","-","-","-","-","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_1095.jpg,1095-ND,1095,Apex Tool Group,GUN HEAT DUAL TEMP,8,0,"74.00000","0","1","Weller®","Obsolete","Heat Gun","-","790°F, 1200°F (421°C, 649°C)","-","-","400W, 1000W","Heat Gun","-","-","3-Stage Switch, 6' Cord","cULus","Canada, United States","-","-","Black"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/MA_ProheatSeriesBrochure[1].pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2200-1-A1_A6.jpg,PH-2200-1-A1-ND,PH-2200-1-A1,Master Appliance Co,HEAT GUN W/SHRINK ATTCHMNT 230V,2,0,"195.44000","0","1","Proheat® Varitemp® PH","Active","Heat Gun","-","130°F ~ 1000°F (50°C ~ 540°C)","230V","6.2A","1426W","Heat Gun, Stand, Nozzle","-","-","6' Cord, Built-in Base, Variable Temperature Control","CE","Europe, India","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_6958.jpg,6958-ND,6958,Apex Tool Group,REDUCING BAFFLE FOR 6966,11,0,"6.20000","0","1","Weller®","Active","-","Nozzle, Reduction","-","-","-","-","-","-","6966C","-","-","-","Circular - 0.20"" (5.00mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf#page=34,//media.digikey.com/photos/Steinel%20Photos/07051.jpg,SDL1300-ND,110048645,Steinel America,NOZZLE REFLECTOR 39MM,14,0,"15.77000","0","1","-","Active","-","Nozzle, Reflector","-","-","-","-","-","-","HG2000E, HG2310LCD, HG2310BB, HG2510ESD, HL1610S, HL1810S, HL1910E, HL2010E, SV800, SV803","-","-","-","Circular - 1.54"" (39.00mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf#page=35,//media.digikey.com/photos/Steinel%20Photos/MFG_07461.jpg,SDL1305-ND,07461,Steinel America,NOZZLE REFLECTOR 14MM,17,0,"18.17000","0","1","-","Active","-","Nozzle, Reflector","-","-","-","-","-","-","HG2000E, HG2310LCD, HG2510ESD, HL1910E, HL2010E","-","-","-","Circular - 0.55"" (14.00mm)","-","Silver"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Varitemp%20Heat%20Gun%20Instruction%20Manual.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_VT-750C.jpg,MA1044-ND,VT-750C,Master Appliance Co,VARTEMP HEAT GUN 1000F MAX 120V,0,0,"196.00000","0","1","Varitemp® VT","Active","Heat Gun","-","1000°F (538°C)","120V","14.5A","1740W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element, Variable Temperature Control","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
http://www.steinel.net/Customized/uploads/PDFs/HG_350_ESD_Data.pdf,//media.digikey.com/Photos/Steinel%20Photos/07730.jpg,SDL4052-ND,110050181,Steinel America,REDUCER 7MM FOR HG350ESD,0,0,"4.67000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG350ESD","-","-","-","Circular - 0.28"" (7.00mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/HG_350_ESD_Data.pdf,//media.digikey.com/Photos/Steinel%20Photos/MFG_07765.jpg,SDL4056-ND,110049699,Steinel America,REFLECTOR 40MM FOR HG350ESD,8,0,"10.48000","0","1","-","Active","-","Nozzle, Reflector","-","-","-","-","-","-","HG350ESD","-","-","-","Circular - 1.57"" (40.00mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/HG_350_ESD_Data.pdf,//media.digikey.com/Photos/Steinel%20Photos/MFG_07755.jpg,SDL4055-ND,07755,Steinel America,REFLECTOR 10MM FOR HG350ESD,2,0,"10.48000","0","1","-","Active","-","Nozzle, Reflector","-","-","-","-","-","-","HG350ESD","-","-","-","Circular - 0.39"" (10.00mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/HG_350_ESD_Data.pdf,//media.digikey.com/Photos/Steinel%20Photos/MFG_07745.jpg,SDL4054-ND,110049697,Steinel America,PREC REFLECTOR FOR HG350ESD,7,0,"11.38000","0","1","-","Active","-","Nozzle, Reflector","-","-","-","-","-","-","HG350ESD","-","-","-","Circular - 0.39"" (10.00mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf#page=34,//media.digikey.com/photos/Steinel%20Photos/MFG_07081.jpg,SDL4060-ND,07081,Steinel America,NOZZLE REDUCTION 3/4"",22,0,"15.77000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG2000E, HG2310LCD, HG2310BB, HG2510ESD, HL1610S, HL1810S, HL1910E, HL2010E","-","-","-","Circular - 0.79"" (20.00mm)","-","Silver"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master_Appliance_Full_Cat.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/51544.jpg,MA1004-ND,51544,Master Appliance Co,ATTACHEMENT HEAT REDUCER 7/8"",7,0,"15.79000","0","1","HG, Varitemp® VT, Deluxe Varitemp® VTS","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG-201A, HG-202A, HG-301A, HG-302A, HG-501x, HG-502A, HG-751x,  HG-752A, VT-750C, VT-752C, VTS-750, VTS-752","-","-","-","Circular - 0.88"" (22.35mm)","-","Silver"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master_Appliance_Full_Cat.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/A-170-HG.jpg,MA1002-ND,A-170-HG,Master Appliance Co,ATTACHMENT HEAT SHRINK,0,0,"15.79000","0","1","HG, Varitemp® VT, Deluxe Varitemp® VTS","Active","-","Nozzle, Reflector","-","-","-","-","-","Heat Shrink Tubing from 0.75"" up to 2"" in Dia","HG-201A, HG-202A, HG-301A, HG-302A, HG-501x, HG-502A, HG-751x,  HG-752A, VT-750C, VT-752C, VTS-750, VTS-752","-","-","-","-","-","Silver"
http://www.avenconnect.com/product_sheets/Heat_Guns.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_17602.jpg,243-1317-ND,17602,Aven Tools,HEAT GUN 1500W WITH DIGITAL TEMP,4,0,"43.78000","0","1","-","Active","Heat Gun","-","212°F ~ 572°F, 572°F ~ 1202°F (100°C ~ 300°C, 300°C ~ 650°C)","120V","-","800W, 1500W","Heat Gun, 3 Nozzles","-","-","3-Stage Switch, LCD Display, Pushbutton Temperature Control","-","-","-","15.9 CFM","Blue"
http://www.steinel.net/Customized/uploads/PDFs/HB1750OwnersManaul.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_07695.jpg,SDL2050-ND,110049693,Steinel America,REDUCER NOZZLE 7MM FOR HB1750,3,0,"44.00000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HB1750, SV750","-","-","-","Circular - 0.28"" (7.00mm)","-","Silver"
http://www.steinel.net/customized/uploads/pdfs/UltraheatBrochure.pdf,//media.digikey.com/Photos/Steinel%20Photos/SV803K.jpg,SDL1450-ND,110049725,Steinel America,HEAT GUN KIT W/CASE & 2 NOZZLES,4,0,"92.37000","0","1","UltraHEAT™ II","Active","Heat Gun Kit","-","140°F ~ 1050°F (60°C ~ 566°C)","120V","-","1400W","Heat Gun, Case, 2 Nozzles","-","-","3-Stage Air Control, 6.5' Cord, Variable Temperature Control","cULus","Canada, United States","-","-","Black"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master-Heat-Gun-Instruction-Manual-58221.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HG-301AK_A.jpg,MA1037-ND,HG-301AK,Master Appliance Co,"MASTER HEAT GUN, WITH 3 ATTACHME",1,0,"182.13000","0","1","HG","Active","Heat Gun Kit","-","300°F ~ 500°F (149°C ~ 260°C)","120V","12A","1440W","Heat Gun, Case, 3 Nozzles","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
http://www.panduit.com/heiler/CatalogCutSheets/KP-HSTT1%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_HSG-115V-650.jpg,298-11530-ND,HSG-115V-650,Panduit Corp,TOOL GUN HEAT SHRINK HI TEMP 10A,0,0,"241.71000","0","1","-","Active","Heat Gun Kit","-","650°F ~ 900°F (343°C ~ 483°C)","115V","10A","-","Heat Gun, Stand","-","-","-","CSA, UL","Canada, United States","-","-","-"
http://www.steinel.net/Customized/uploads/PDFs/HB1750OwnersManaul.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_07715.jpg,SDL3050-ND,110049695,Steinel America,SMALL REFLECTOR FOR HB1750,5,0,"19.67000","0","1","-","Active","-","Nozzle, Reflector","-","-","-","-","-","Heat Shrink Tubing up to 0.79"" (20mm) Dia","HB1750, SV750","-","-","-","-","-","Silver"
//media.digikey.com/pdf/Data%20Sheets/Steinel%20America%20Inc/Heat_Tools_Catalog.pdf,//media.digikey.com/photos/Steinel%20Photos/07301.jpg,SDL1304-ND,110048650,Steinel America,NOZZLE REFLECTOR 75MM FITS ALL,5,0,"20.43000","0","1","-","Active","-","Nozzle, Reflector","-","-","-","-","-","-","HG2000E, HG2310LCD, HG2310BB, HG2510ESD, HL1610S, HL1810S, HL1910E, HL2010E","-","-","-","Circular - 2.95"" (75.00mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/HB1750OwnersManaul.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_07705.jpg,SDL3000-ND,07705,Steinel America,LARGE REFLECTOR FOR HB1750,3,0,"21.49000","0","1","-","Active","-","Nozzle, Reflector","-","-","-","-","-","Heat Shrink Tubing up to 1.97"" (50mm) Dia","HB1750, SV750","-","-","-","-","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/HB1750OwnersManaul.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_07725.jpg,SDL4000-ND,110049696,Steinel America,SURFACE NOZZLE 200MM FOR HB1750,5,0,"46.43000","0","1","-","Active","-","Nozzle, Spreader","-","-","-","-","-","-","HB1750, SV750","-","-","-","Flat - 7.87"" (200.00mm)","-","Silver"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_6956.jpg,6956-ND,6956,Apex Tool Group,REFLECTOR LARGE 1/2,14,0,"3.10000","0","1","Weller®","Active","-","Nozzle, Reflector","-","-","-","-","-","-","6966C","-","-","-","Circular - 0.50"" (12.70mm)","-","Silver"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_ML100.jpg,ML100-ND,ML100,Apex Tool Group,MICRO TORCH MAGNA-LITE BUTANE,1,0,"11.30000","0","1","Weller®, MAGNA-LITE","Active","Butane Torch, Hand-Held","-","2400°F (1316°C)","-","-","-","Torch","-","-","Child Resistant (CPSC Compliant), Key-Ring Lanyard, LED Light, Refillable Fuel Tank, Self-Igniting","-","-","-","-","Orange"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_6965A.jpg,6965A-ND,6965A,Apex Tool Group,HEAT GUN HOLDER,2,0,"28.90000","0","1","Weller®","Active","-","Stand","-","-","-","-","-","-","6966C, 6966H","-","-","-","-","-","Silver"
-,-,133-30083-ND,30083,Master Appliance Co,ELMNT KIT HG-501D & VT-751D 120V,0,0,"32.36000","0","1","HG, Varitemp® VT","Active","-","Heating Element Kit","1200°F (649°C)","120V","14.5A","1740W","-","-","HG-501D, VT-751D","-","cULus","-","-","-","-"
-,-,133-30085-ND,30085,Master Appliance Co,ELEMENT KIT HG-301D 120V,0,0,"32.36000","0","1","HG, Varitemp® VT","Active","-","Heating Element Kit","800°F (427°C)","120V","12A","1440W","-","-","HG-301D","-","cULus","-","-","-","-"
-,-,133-30087-ND,30087,Master Appliance Co,ELEMENT KIT HG-201D 120V,0,0,"32.36000","0","1","HG, Varitemp® VT","Active","-","Heating Element Kit","400°F (204°C)","120V","5A","600W","-","-","HG-201D","-","cULus","-","-","-","-"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HD-G-Series.jpg,133-HG-301D-00-MC-ND,HG-301D-00-MC,Master Appliance Co,HEAT GUN 800�F 120V MC SWITCH,0,0,"155.91000","0","1","HG","Active","Heat Gun","-","800°F (427°C)","120V","12A","1440W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HD-G-Series.jpg,133-HG-201D-ND,HG-201D,Master Appliance Co,HEAT GUN 400�F 120V,0,0,"155.91000","0","1","HG","Active","Heat Gun","-","400°F (204°C)","120V","5A","600W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HD-G-Series.jpg,133-HG-501D-00-MC-ND,HG-501D-00-MC,Master Appliance Co,HEAT GUN 1200�F 120V MC SWITCH,0,0,"155.91000","0","1","HG","Active","Heat Gun","-","1200°F (649°C)","120V","14.5A","1740W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HD-G-Series.jpg,133-HG-801D-01-ND,HG-801D-01,Master Appliance Co,HEAT GUN 1400�F 120V 20 AMP,0,0,"156.83000","0","1","HG","Active","Heat Gun","-","1400°F (760°C)","120V","18.5A","2220W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HD-G-Series.jpg,133-HG-301D-ND,HG-301D,Master Appliance Co,HEAT GUN 800�F 120V,0,0,"157.22000","0","1","HG","Active","Heat Gun","-","800°F (427°C)","120V","12A","1440W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HD-G-Series.jpg,133-HG-501D-ND,HG-501D,Master Appliance Co,HEAT GUN 1200�F 120V,0,0,"157.22000","0","1","HG","Active","Heat Gun","-","1200°F (649°C)","120V","14.5A","1740W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HD-G-Series.jpg,133-HG-201D-00-MC-ND,HG-201D-00-MC,Master Appliance Co,HEAT GUN 400�F 120V MC SWITCH,0,0,"164.13000","0","1","HG","Active","Heat Gun","-","400°F (204°C)","120V","5A","600W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HD-K-SERIES.jpg,133-HG-301D-00-K-ND,HG-301D-00-K,Master Appliance Co,HEAT GUN KIT 800�F 120V,0,0,"188.66000","0","1","HG","Active","Heat Gun Kit","-","800°F (427°C)","120V","12A","1440W","Heat Gun, Reducer Attachment, Shrink Tubing Reflector, Spreader Attachments","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HD-K-SERIES.jpg,133-HG-501D-00-K-ND,HG-501D-00-K,Master Appliance Co,HEAT GUN KIT 1200�F 120V,0,0,"188.66000","0","1","HG","Active","Heat Gun Kit","-","1200°F (649°C)","120V","14.5A","1740W","Heat Gun, Reducer Attachment, Shrink Tubing Reflector, Spreader Attachments","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_VT-751D.jpg,133-VT-751D-ND,VT-751D,Master Appliance Co,VARITEMP HEAT GUN 1200�F 120V,0,0,"196.78000","0","1","Varitemp® VT","Active","Heat Gun","-","100°F ~ 1200°F (38°C ~ 649°C)","120V","14.5A","1740W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HD-K-SERIES.jpg,133-HG-201D-00-K-ND,HG-201D-00-K,Master Appliance Co,HEAT GUN KIT 400�F 120V,0,0,"196.88000","0","1","HG","Active","Heat Gun Kit","-","400°F (204°C)","120V","5A","600W","Heat Gun, Reducer Attachment, Shrink Tubing Reflector, Spreader Attachments","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Proheat_STC_Heat_Gun_Series_Brochure_2018.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_Heat-Gun.jpg,MA1042-ND,PH-2600-A1,Master Appliance Co,STC SURFACE TEMP CNTRL HEAT GUN,0,0,"470.17000","0","1","Proheat® STC PH","Active","Heat Gun","-","90°F ~ 500°F (40°C ~ 270°C)","230V","6.8A","1320W","Heat Gun, Proloc™ Magnetic Key","-","-","6' Cord, LED Indicators, Surface Laser Temp Sensor/Display, Variable Airflow and Temperature Controls with Lock-In","CE","Europe, India","Circular - 0.88"" (22.35mm)","4.0 CFM ~ 16.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_WHR-003KA.jpg,WHR-003KA-ND,WHR-003KA,Master Appliance Co,ARMATURE END PLAY SPACER KIT (6),0,0,"1.25200","0","10","HG, Varitemp® VT, Deluxe Varitemp® VTS","Active","-","Washer","-","-","-","-","6 Spacers","-","HG-201A, HG-202A, HG-301A, HG-302A, HG-501x, HG-502A, HG-751x, HG-752A","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_SRW-321.jpg,SRW-321-ND,SRW-321,Master Appliance Co,"SCREW, SHOULDER",0,0,"1.63600","0","10","HG, Varitemp® VT, Deluxe Varitemp® VTS","Active","-","Screw","-","-","-","-","-","-","HG-201A, HG-202A, HG-301A, HG-302A, HG-501x, HG-502A, HG-751x, HG-752A","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_SRW-349K.jpg,SRW-349K-ND,SRW-349K,Master Appliance Co,"SCREW, NOZZLE (KIT OF 3)",0,0,"1.63600","0","10","HG, Varitemp® VT, Deluxe Varitemp® VTS","Active","-","Screw","-","-","-","-","3 Screws","-","HG-201A, HG-202A, HG-301A, HG-302A, HG-501x, HG-502A, HG-751x, HG-752A","-","-","-","-","-","-"
-,-,243-1564-ND,17601-HT2,Aven Tools,NOZZLE HT2 FOR HEAT GUNS,20,0,"2.00000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","Heat Gun","17601, 17602","-","-","-","-","-","Silver"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_GRT-023.jpg,GRT-023-ND,GRT-023,Master Appliance Co,"STRAIN RELIEF, SWITCH/BLOWER HOU",0,0,"2.24000","0","1","-","Active","-","Strain Relief","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_SRW-141.jpg,SRW-141-ND,SRW-141,Master Appliance Co,"SCREW, CLAMP",0,0,"2.27300","0","10","HG, Varitemp® VT, Deluxe Varitemp® VTS","Active","-","Screw","-","-","-","-","-","-","HG-201A, HG-202A, HG-301A, HG-302A, HG-501x, HG-502A, HG-751x, HG-752A","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_KNB-003.jpg,KNB-003-ND,KNB-003,Master Appliance Co,KNOB,0,0,"2.43000","0","1","HG, Varitemp® VT, Deluxe Varitemp® VTS","Active","-","Knob","-","-","-","-","-","-","HG-201A, HG-202A, HG-301A, HG-302A, HG-501x, HG-502A, HG-751x, HG-752A","-","-","-","-","-","Black, Red"
-,-,243-1565-ND,17601-HT3,Aven Tools,NOZZLE HT3 FOR HEAT GUN,20,0,"2.54000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","Heat Gun","17601, 17602","-","-","-","-","-","Silver"
-,-,243-1563-ND,17601-HT1,Aven Tools,NOZZLE HT1 FOR HEAT GUN,19,0,"2.54000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","Heat Gun","17601, 17602","-","-","-","-","-","Silver"
-,-,MA35238-ND,35238,Master Appliance Co,"STRAIN RELIEF, POWER CORDSET",0,0,"2.91000","0","1","Masterflow®","Active","-","Strain Relief","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,243-1566-ND,17601-HT4,Aven Tools,NOZZLE HT4 FOR HEAT GUN,19,0,"3.26000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","Heat Gun","17601, 17602","-","-","-","-","-","Silver"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_TMB-003.jpg,TMB-003-ND,TMB-003,Master Appliance Co,TERMINAL BLOCK,0,0,"4.25400","0","10","HG, Varitemp® VT, Deluxe Varitemp® VTS","Active","-","Terminal Block","-","230V","-","-","-","-","HG-201A, HG-202A, HG-301A, HG-302A, HG-501x, HG-502A, HG-751x, HG-752A","-","-","-","-","-","White"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/T6957_Web.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T6957.jpg,T6957-ND,T6957,Apex Tool Group,REFLECTOR LARGE 1-1/2,0,0,"4.30000","0","1","Weller®","Active","-","Nozzle, Reflector","-","-","-","-","-","-","6966C","-","-","-","Circular - 1.50"" (38.10mm)","-","Silver"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_INN-032.JPG,INN-032-ND,INN-032,Master Appliance Co,"MICA, CORRUGATED",0,0,"4.73000","0","1","HG, Varitemp® VT, Deluxe Varitemp® VTS","Active","-","Sheet","-","-","-","-","-","-","HG-201A, HG-202A, HG-301A, HG-302A, HG-501x, HG-502A, HG-751x, HG-752A","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_35318.jpg,MA35318-ND,35318,Master Appliance Co,"KNOB, CONTROL (ALL MODELS)",0,0,"6.22000","0","1","Proheat® Varitemp® PH","Active","-","Knob","-","-","-","-","-","-","-","-","-","-","-","-","Black"
-,-,AES-S1125-MIX-NOZZLE-ND,AES-S1125-MIX-NOZZLE,TE Connectivity Raychem Cable Protection,ADHESIVES & SEALANTS,0,0,"7.56000","0","230","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_50183.jpg,50183-ND,50183,Master Appliance Co,"LIGHT, 120V, WITH RETAINING RING",0,0,"7.58000","0","1","Master-Mite® ESD","Active","-","LED","-","120V","-","-","Retaining Ring(s)","-","-","-","-","-","-","-","Red"
-,-,MA35445-ND,35445,Master Appliance Co,RIBBON CABLE,0,0,"7.92000","0","1","Proheat® STC PH","Active","-","Ribbon Cable","-","-","-","-","-","-","-","-","-","-","-","-","-"
