Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Type","Range of Values","Drive Size","Includes","Features","Quantity"
https://cdn.wihatoolsus.com/pdfs/WihaTorxCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_71698.jpg,431-2520-ND,71698,Wiha,SOCKET SET TORXPLU 1/4"" 3/8"" 8PC,3,0,"53.26000","0","1","-","Active","Socket Set","TorxPlus®","IP9 ~ IP40","1/4"", 3/8""","Storage Rail, Vinyl Pouch","Replaceable Bits","8 Pieces"
-,-,80319-ND,80319,Apex Tool Group,SET SKT 1/4 3/8DR 10MM 10PC,0,0,"53.76000","0","1","-","Active","Socket Set","6 Point Socket","-","1/4"", 3/4""","-","-","10 Pieces"
https://cdn.wihatoolsus.com/pdfs/WihaBitsCatalog.pdf,//media.digikey.com/Photos/Wiha/71989.jpg,71989-ND,71989,Wiha,SOCKET SET HEX TR 3/8"" 7PCS,0,0,"54.68000","0","1","-","Active","Socket Set","Hex TR (Security)","2mm ~ 8mm","3/8""","Storage Rail","Replaceable Bits","7 Pieces"
-,//media.digikey.com/Photos/Wiha/MFG_76197.jpg,431-2084-ND,76197,Wiha,SOCKET SET TORX 1/4"" 10PC,4,0,"55.22000","0","1","Torx®","Active","Socket Set","Torx®","T8 ~ T50","1/4""","Storage Rail","Replaceable Bits","10 Pieces"
-,-,80582-ND,80582,Apex Tool Group,"SET SKT TORX EXT 1/4, 3/8, 1/2DR",0,0,"55.23000","0","6","-","Active","Socket Set","Torx®","-","1/4"", 1/2"", 3/4""","-","-","-"
-,-,80744-ND,80744,Apex Tool Group,SET SKT TRIP SQ STUB 3/8 1/2DR 6,0,0,"55.65000","0","10","-","Active","Socket Set","Square","-","1/2"", 3/4""","-","-","-"
-,-,80586-ND,80586,Apex Tool Group,SET HEX BALL STD SAE 3/8DR 1/8-3,0,0,"55.85000","0","6","-","Active","Socket Set","Hex","-","3/4""","-","-","-"
-,-,80587-ND,80587,Apex Tool Group,SET HEX BALL STD MET 3/8DR 3-10M,0,0,"55.85000","0","6","-","Active","Socket Set","Hex","-","3/4""","-","-","-"
-,-,84915N-ND,84915N,Apex Tool Group,SET SKT IMP DP SAE 3/8DR 8PC,0,0,"56.43000","0","1","-","Active","Socket Set","6 Point Socket","-","3/4""","-","-","8 Pieces"
-,-,84946-ND,84946,Apex Tool Group,3PC 1/2DR PROTECTOR IMP SKT SET,0,0,"56.65000","0","6","-","Active","-","-","-","-","-","-","-"
