Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status"
-,-,MCP6N16T-010E/MSVAO-ND,MCP6N16T-010E/MSVAO,Microchip Technology,SINGLE ZERO-DRIFT INSTRUMENTATIO,0,0,"Active","0","0","*","Active"
-,-,MCP6V34T-E/STVAO-ND,MCP6V34T-E/STVAO,Microchip Technology,QUAD ZERO-DRIFT OP AMP E TEMP,0,0,"Active","0","0","*","Active"
-,-,MCP6V84T-E/STVAO-ND,MCP6V84T-E/STVAO,Microchip Technology,QUAD ZERO-DRIFT OP AMP E TEMP,0,0,"Active","0","0","*","Active"
-,-,MCP6V94T-E/STVAO-ND,MCP6V94T-E/STVAO,Microchip Technology,QUAD ZERO-DRIFT OP AMP E TEMP,0,0,"Active","0","0","*","Active"
-,-,MCP6V92T-E/MSVAO-ND,MCP6V92T-E/MSVAO,Microchip Technology,DUAL ZERO-DRIFT OP AMP E TEMP,0,0,"Active","0","0","*","Active"
-,-,115-095-909-164-048-ND,095-909-164-048,Amphenol RF Division,"ATC-PS TEST CABLE ASSEMBLY, N-TY",0,0,"Active","0","0","*","Active"
-,-,115-HSDSJZSJZ11-19-ND,HSDSJZSJZ11-19,Amphenol RF Division,HSD STRAIGHT JACK TO HSD STRAIGH,0,0,"Active","0","0","*","Active"
-,-,115-HSDSJZSPZ06-16-ND,HSDSJZSPZ06-16,Amphenol RF Division,HSD STRAIGHT JACK TO HSD STRAIGH,0,0,"Active","0","0","*","Active"
-,-,115-095-909-164M100-ND,095-909-164M100,Amphenol RF Division,"ATC-PS TEST CABLE ASSEMBLY, N-TY",0,0,"Active","0","0","*","Active"
-,-,115-095-909-168-036-ND,095-909-168-036,Amphenol RF Division,"ATC-PS TEST CABLE ASSEMBLY, N-TY",0,0,"Active","0","0","*","Active"
-,-,115-HSDSJZSJZ11-18-ND,HSDSJZSJZ11-18,Amphenol RF Division,HSD STRAIGHT JACK TO HSD STRAIGH,0,0,"Active","0","0","*","Active"
-,-,TFA9871BUK/N1Z-ND,TFA9871BUK/N1Z,NXP USA Inc.,IC AUDIO AMP CLASS D WLCSP,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,115-HSDSPZSPZ06-20-ND,HSDSPZSPZ06-20,Amphenol RF Division,HSD STRAIGHT PLUG TO HSD STRAIGH,0,0,"Active","0","0","*","Active"
-,-,TFA9911UK/N1Z-ND,TFA9911UK/N1Z,NXP USA Inc.,IC AUDIO AMP CLASS D WLCSP,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,115-095-909-168-024-ND,095-909-168-024,Amphenol RF Division,"ATC-PS TEST CABLE ASSEMBLY, N-TY",0,0,"Active","0","0","*","Active"
-,-,115-095-909-164-036-ND,095-909-164-036,Amphenol RF Division,"ATC-PS TEST CABLE ASSEMBLY, N-TY",0,0,"Active","0","0","*","Active"
-,-,115-095-909-164-024-ND,095-909-164-024,Amphenol RF Division,"ATC-PS TEST CABLE ASSEMBLY, N-TY",0,0,"Active","0","0","*","Active"
