Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Device Size","Specifications"
http://www.cde.com/resources/catalogs/hardware.pdf,-,31762-132-ND,31762-132,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","5.130"" H (130.3mm)","Side Mount"
-,-,31762-133-ND,31762-133,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-134-ND,31762-134,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-135-ND,31762-135,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-136-ND,31762-136,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-139-ND,31762-139,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-140-ND,31762-140,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-141-ND,31762-141,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-142-ND,31762-142,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-2-ND,31762-2,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-20-ND,31762-20,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-26-ND,31762-26,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-36-ND,31762-36,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-39-ND,31762-39,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-4-ND,31762-4,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
-,-,31762-40-ND,31762-40,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","-","Side Mount"
http://www.cde.com/resources/catalogs/hardware.pdf,-,31762-47-ND,31762-47,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","2.630"" H (66.8mm)","Side Mount"
