Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size","For Use With/Related Products","Specifications"
-,-,T9904-ND,T9904,Apex Tool Group,SOLDER SPONGE 4.5X3"" TWO HOLES,0,0,"5.50000","0","1","Weller®","Active","Sponge","4.50"" L x 3.00"" W (114.3mm x 76.2mm)","Soldering Irons, Workstands","Two Holes"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-888H.jpg,CS-888H-ND,CS-888H,Techspray,SOLDER SPONGE,0,0,"5.73000","0","1","Plato®","Active","Sponge","-","-","-"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_70-37U.jpg,70-37U-ND,70-37U,Master Appliance Co,SOLDER SPONGE PLAIN 1PC,0,0,"8.04000","0","1","Ultratorch®","Active","Sponge","-","UT-100, UT-200","No Holes"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/EBSPG5.jpg,EB1234-ND,SPG5,MENDA/EasyBraid,SLDR SPONGE 3.2X1"" CNTR HOLE 5PK,7,0,"10.01000","0","1","EB","Discontinued at Digi-Key","Sponge","3.20"" L x 1.00"" W (81.3mm x 25.4mm)","EB9000S","Single Center Hole"
-,-,T400-ND,T400,Apex Tool Group,SOLDER SPONGE 4X2"" PLAIN W/TRAY,0,0,"14.30000","0","1","Weller®, Kleen-tip","Active","Sponge","4.00"" L x 2.00"" W (101.6mm x 50.8mm)","-","No Holes, Tray Included"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/DS209.pdf,-,DS209-ND,DS209,Apex Tool Group,CLEAN OUT TOOL SET,0,0,"16.20000","0","1","-","Active","Tip Cleaner","-","Weller® DS2000","-"
-,-,ESK565-ND,ESK565,Apex Tool Group,"TIP,SPECIAL WAX MELT,W100PG,HOWM",0,0,"22.10012","0","250","-","Not For New Designs","-","-","-","-"
http://documents.easybraidco.com/PDF/Solder-Sponge-Plain.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/S8517-P.jpg,EB1009-ND,S8517-P-T,MENDA/EasyBraid,SOLDER SPONGE 17X8.5"" PLAIN 10PK,0,0,"191.37000","0","1","Solder Soakers™","Active","Sponge","17.00"" L x 8.50"" W (431.8mm x 215.9mm)","Soldering Irons, Workstands","Cut to Fit, No Holes"
-,-,602-029-ND,602-029,"American Hakko Products, Inc.","SPONGE,CLEANING,606/602",0,0,"2.47000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3540_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3540.jpg,1528-2343-ND,3540,Adafruit Industries LLC,SQUARE 60MM X 60MM SOLDERING SPO,0,0,"2.50000","0","1","-","Active","Sponge","2.36"" L x 2.36"" W (60.0mm x 60.0mm)","-","-"
-,-,603-029-ND,603-029,"American Hakko Products, Inc.","SPONGE,CLEANING,603",0,0,"3.27000","0","1","-","Active","-","-","-","-"
-,-,609-029/P-ND,609-029/P,"American Hakko Products, Inc.","SPONGE,CLEANING,631/607,GLD",0,0,"3.27000","0","1","-","Active","-","-","-","-"
-,-,A1519-ND,A1519,"American Hakko Products, Inc.","SPONGE,CLEANING,ROUND,FH-200/100",0,0,"3.57000","0","1","-","Active","-","-","-","-"
