Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Particle Size","Flow Rate","Pressure Range","Inlet/Outlet Size","Height","Diameter","Operating Temperature"
-,-,XL30PP010DA-ND,XL30PP010DA,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"115.67400","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK2BKZ8100G-ND,3GPK2BKZ8100G,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"115.86000","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK1AUZ11150-ND,3GPK1AUZ11150,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"115.94333","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP010RA-ND,XL30PP010RA,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"116.19000","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL29PP005DA-ND,XL29PP005DA,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"116.40000","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP400DC-ND,XL30PP400DC,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"116.40000","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL29PP002DA-ND,XL29PP002DA,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"117.14200","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP100B0A-ND,XL30PP100B0A,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"117.14200","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,5585716-ND,5585716,3M,THE AQUA-PURE WHOLE HOUSE WA,0,0,"117.32000","0","2","*","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP002F0C-ND,XL30PP002F0C,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"117.56267","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,PPG120C01CC01-ND,PPG120C01CC01,3M,BETAFINE PPG SERIES FILTER CAPSU,0,0,"117.97000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK1AUZ11120-ND,3GPK1AUZ11120,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"118.23167","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,5617934-ND,5617934,3M,WE OFFER THE 3M AQUA-PURE,0,0,"120.01000","0","6","*","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP010B0K-ND,XL20PP010B0K,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"120.08533","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP005B0K-ND,XL20PP005B0K,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"120.82667","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP002B0K-ND,XL20PP002B0K,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"121.56067","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP100C0B-ND,XL30PP100C0B,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"121.68733","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK1AU09G-ND,3GPK1AU09G,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"121.84500","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK1AU09L-ND,3GPK1AU09L,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"121.84500","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK1AU09Q-ND,3GPK1AU09Q,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"121.84500","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK1AU09B-ND,3GPK1AU09B,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"122.35333","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK1AU09C-ND,3GPK1AU09C,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"122.35333","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,Z8UE12PD205U-ND,Z8UE12PD205U,3M,ZETA PLUS U SERIES FILTER CARTRI,0,0,"122.96600","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP010B0A-ND,XL30PP010B0A,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"124.51133","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,Z8UE12PD210UW-ND,Z8UE12PD210UW,3M,ZETA PLUS UW SERIES FILTER CARTR,0,0,"125.00267","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP050C0B-ND,XL30PP050C0B,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"125.12267","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP005B0A-ND,XL30PP005B0A,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"125.24533","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP005C0A-ND,XL30PP005C0A,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"125.24533","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP005RA-ND,XL30PP005RA,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"125.24533","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP002B0A-ND,XL30PP002B0A,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"125.98733","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP002RA-ND,XL30PP002RA,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"125.98733","0","15","-","Active","-","-","-","-","-","-","-","-","-"
https://multimedia.3m.com/mws/media/493983O/zeta-plustm-h-series-depth-filter.pdf,-,Z2UA12PC205U-ND,Z2UA12PC205U,3M,ZETA PLUS U SERIES FILTER CARTRI,0,0,"126.34500","0","2","-","Active","-","-","-","-","-","-","-","-","-"
-,-,1GPK2XL09100-ND,1GPK2XL09100,3M,CUNO CTG-KLEAN SYSTEM WITH BETAF,0,0,"127.43833","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3GPK1NTT050-ND,3GPK1NTT050,3M,CUNO CTG-KLEAN SYSTEM FILTER PAC,0,0,"129.46000","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,5530002-ND,5530002,3M,THE AQUA-PURE WHOLE HOUSE WA,0,0,"130.26500","0","4","*","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP010C1A-ND,XL30PP010C1A,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"130.39800","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP010C02AA01-ND,NTP010C02AA01,3M,NT-P SERIES FILTER CAPSULE,0,0,"130.79000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
