Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Diagonal Screen Size","Viewing Area"
-,-,PF133C3B-ND,PF133C3B,3M,PF13.3 PRIVACY FILTER FOR LAPTOP,0,0,"51.40000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/PF13.3W~.pdf,-,PF13.3W-ND,PF13.3W,3M,PRIVACY FILTER LAPTOP 13.3"",0,0,"52.05000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","13.3"" (13.31"", 338mm)","287.00mm W x 179.00mm H"
-,-,PF141C3B-ND,PF141C3B,3M,PF14.1 PRIVACY FILTER FOR LAPTOP,0,0,"52.92000","0","1","-","Active","-","-","-","-"
-,-,PF154W1B-ND,PF154W1B,3M,PF15.4W PRIVACY FILTER FOR WIDES,0,0,"53.09000","0","1","-","Active","-","-","-","-"
-,-,PF156W9E-ND,PF156W9E,3M,NOTEBOOK PRIVACY FILTER,0,0,"53.09000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/ePrivacy_Filter.pdf,-,RPF14.1W-ND,RPF14.1W,3M,FRAMELESS PRIVACY FILTER,0,0,"53.68000","0","1","-","Active","Privacy Filter, Widescreen","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/GPFMR15~.pdf,-,GPFMR15-ND,GPFMR15,3M,GOLD PRIVACY FILTER MACBOOK 15"",0,0,"53.76000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","15.4"" (15.40"", 391mm)","352.43mm W x 230.19mm H"
-,-,PF150C3B-ND,PF150C3B,3M,PF15.0 PRIVACY FILTER FOR LAPTOP,0,0,"54.82000","0","1","-","Active","-","-","-","-"
-,-,BF10XL-ND,BF10XL,3M,NON INSULATED HIGHLAND BLOCK FOR,0,0,"55.25000","0","1","-","Active","Privacy Filter","LCD Monitor","18.3"" (18.25"", 464mm)","358.78mm W x 292.10mm H"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/GPF12.1W~.pdf,-,GPF12.1W-ND,GPF12.1W,3M,GOLD PRIVACY FILTER LAPTOP 12.1"",0,0,"55.71000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","12.1"" (12.10"", 307mm)","261.94mm W x 163.51mm H"
