Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Connector Type","Number of Positions","Shape","Barrel Depth","Voltage","Mounting Type","Features"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862435&DocType=Customer+Drawing&DocLang=English,-,862435-4-ND,862435-4,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 2POS CYL PNL MNT,0,0,"20.44040","0","300","Bulk","-","Active","LGH","Receptacle","2","Cylindrical","-","10kVDC","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862435&DocType=Customer+Drawing&DocLang=English,-,862435-9-ND,862435-9,TE Connectivity AMP Connectors,CONN LGH RCPT 2POS CYL PNL MNT,0,0,"20.53630","0","300","Bulk","-","Active","LGH","Receptacle","2","Cylindrical","-","10kVDC","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862383&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/862383-2.jpg,A115781-ND,862383-2,"TE Connectivity Aerospace, Defense and Marine",CONN LGH HOUSING 2POS RECT STR,0,0,"20.56180","0","500","Bulk","-","Active","LGH","Housing","2","Rectangular","-","-","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861753&DocType=Customer+Drawing&DocLang=English,-,861753-1-ND,861753-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 1POS CIRC STR,0,0,"20.93800","0","100","Bulk","-","Active","LGH","Receptacle","1","Circular","1.00"" (25.40mm)","20kVDC","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862435&DocType=Customer+Drawing&DocLang=English,-,1-862435-4-ND,1-862435-4,TE Connectivity AMP Connectors,CONN LGH RCPT 2POS CYL PNL MNT,0,0,"21.15280","0","300","Bulk","-","Active","LGH","Receptacle","2","Cylindrical","-","10kVDC","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=850513&DocType=Customer+Drawing&DocLang=English,-,850513-1-ND,850513-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH 1 1L DUST CAP,0,0,"21.62580","0","500","Bulk","-","Active","LGH 1, 1L","Accessory - Cap","-","-","-","-","-","-"
-,-,860095-1-ND,860095-1,TE Connectivity AMP Connectors,CONN LGH HARDWARE,0,0,"21.64850","0","100","Bulk","-","Active","-","Accessory - Hardware","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861610&DocType=Customer+Drawing&DocLang=English,-,861610-4-ND,861610-4,TE Connectivity AMP Connectors,CONN LGH PLUG 1POS CYL STR,0,0,"21.65240","0","500","Bulk","-","Active","LGH","Plug","1","Cylindrical","-","20kVDC","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=864900&DocType=Customer+Drawing&DocLang=English,-,864900-1-ND,864900-1,TE Connectivity AMP Connectors,CONN LGH RCPT 6POS CIRC PNL MNT,0,0,"23.31600","0","100","Bulk","-","Active","LGH","Receptacle","6","Circular","-","-","Panel Mount","Flange"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=867298&DocType=Customer+Drawing&DocLang=English,-,867298-1-ND,867298-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 6POS CIRC PNL MNT,0,0,"23.35950","0","100","Bulk","-","Active","LGH","Receptacle","6","Circular","-","-","Panel Mount","Flange"
