Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Arm Length","Base Size"
-,-,50026LG-ND,50026LG,Luxo,WALL MOUNT BRACKET,0,0,"Obsolete","0","1","-","Obsolete","Mount, Wall Bracket","-","-"
-,-,50029LG-ND,50029LG,Luxo,WALL MOUNT BRACKET,0,0,"Obsolete","0","1","-","Obsolete","Mount, Wall Bracket","-","-"
-,-,50034LG-ND,50034LG,Luxo,WALL MOUNT BRACKET,0,0,"Obsolete","0","1","-","Obsolete","Mount, Wall Bracket","-","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/LM%20Microphone%20Arms.pdf,-,L13055-ND,13055,Luxo,ARTICULATING ARM 41"",0,0,"Obsolete","0","1","LM-1","Obsolete","Arm, Articulating","41.0"" (1041.4mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/LM%20Microphone%20Arms.pdf,-,L13110-ND,13110,Luxo,ARTICULATING ARM 25"",0,0,"Obsolete","0","1","LM-2","Obsolete","Arm, Articulating","25.0"" (635.0mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/KM%20Mic%20Arms.pdf,-,L13610-ND,13610,Luxo,ARTICULATING ARM 41"",0,0,"Obsolete","0","1","KM-1","Obsolete","Arm, Articulating","41.0"" (1041.4mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/SCW-PA.pdf,-,SCW-PA-ND,SCW-PA,Aven Tools,FOCUS MOUNT WITH TENSION PIN,0,0,"Obsolete","0","1","-","Obsolete","Mount, Focus","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-525.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-525.jpg,26800B-525-ND,26800B-525,Aven Tools,BOOM STAND 18""H 16""V,0,0,"Obsolete","0","1","-","Obsolete","Stand, Boom","18.0"" (457.2mm) Horizontal, 16.0"" (406.4mm) Vertical","10.00"" x 10.00"" (254.00mm x 254.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-530.pdf,-,26800B-530-ND,26800B-530,Aven Tools,BOOM STAND 18""H 16""V,0,0,"Obsolete","0","1","-","Obsolete","Stand, Boom","18.0"" (457.2mm) Horizontal, 16.0"" (406.4mm) Vertical","17.00"" x 20.00"" (431.80mm x 508.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-540.pdf,-,26800B-540-ND,26800B-540,Aven Tools,DUAL ARM BOOM STAND 12.5""H 16""V,0,0,"Obsolete","0","1","-","Obsolete","Stand, Dual Arm Boom","12.5"" (317.5mm) Horizontal, 16.0"" (406.4mm) Vertical","10.00"" x 10.00"" (254.00mm x 254.00mm)"
