Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Specifications"
//media.digikey.com/PDF/Data%20Sheets/Desco%20PDFs/35014.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_35014.jpg,EB1562-ND,35014,MENDA/EasyBraid,ESD CARD HOLDER PROXIMITY VERT,150,0,"1.56000","0","1","-","Active","Card Holder","-","2 11/16"" x 4 3/8"" Dissipative"
http://documents.mendapump.com/pdf/35015.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35015.jpg,EB1585-ND,35015,MENDA/EasyBraid,ESD CARD HOLDER PROXIMITY HORIZ,529,0,"1.58000","0","1","-","Active","Card Holder","-","3 1/16"" x 3 15/16"" Dissipative"
http://documents.desco.com/PDF/09028.pdf,//media.digikey.com/photos/Desco%20Photos/09029.JPG,16-1066-ND,09029,Desco,ELASTIC REPLACE STRIP FOR 9028,79,0,"1.80000","0","1","-","Active","Wrist Strap","9028 Wrist Strap","-"
https://multimedia.3m.com/mws/media/1565482O/3m-self-stick-liquid-protection-fabric-brochure.pdf,//media.digikey.com/Photos/3M%20Photos/TCDTBL-RW-56%5E-X-10FT.JPG,3M162754-ND,TCDTBL-12""X24""-18/PK,3M (TC),LIQUID PROTECTION FABRIC 12""X24"",90,0,"2.24000","0","1","-","Active","Self Stick Fabric","Liquids","12"" W x 24"" L, Adhesive Back, Blue, 18 Pieces"
http://documents.desco.com/PDF/09105.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_09140.jpg,16-1517-ND,09140,Desco,WRIST STRAP JEWEL REPLACE STRIP,39,0,"3.11000","0","1","Jewel®","Active","Wrist Strap","Wrist Straps","One Size"
https://multimedia.3m.com/mws/media/1565482O/3m-self-stick-liquid-protection-fabric-brochure.pdf,//media.digikey.com/Photos/3M%20Photos/TCDTBL-RW-56%5E-X-10FT.JPG,3M162752-ND,TCDTBL-16""X16""-12/PK,3M (TC),LIQUID PROTECTION FABRIC 16""X16"",60,0,"3.48000","0","1","-","Active","Self Stick Fabric","Liquids","16"" W x 16"" L, Adhesive Back, Blue, 12 Pieces"
-,//media.digikey.com/Photos/SCS/3049.JPG,SCP820-ND,3049,SCS,ESD MAT SNAP KIT,83,0,"3.92000","0","1","-","Active","Snap Kit","Mats, Wrist Straps","10mm Snap Socket, 10mm Snap Stud"
https://multimedia.3m.com/mws/media/1565482O/3m-self-stick-liquid-protection-fabric-brochure.pdf,//media.digikey.com/Photos/3M%20Photos/TCDTBL-RW-56%5E-X-10FT.JPG,3M162753-ND,TCDTBL-24""X24""-6/PK,3M (TC),LIQUID PROTECTION FABRIC 24""X24"",30,0,"7.70000","0","1","-","Active","Self Stick Fabric","Liquids","24"" W x 24"" L, Adhesive Back, Blue, 6 Pieces"
http://documents.desco.com/PDF/10200.pdf,//media.digikey.com/photos/Desco%20Photos/14244.JPG,16-1535-ND,14244,Desco,GND MICASTAT FLUSH MT INSERT,59,0,"9.33000","0","1","-","Active","Ground Point","Static Dissipative Laminate","-"
https://multimedia.3m.com/mws/media/1565482O/3m-self-stick-liquid-protection-fabric-brochure.pdf,//media.digikey.com/Photos/3M%20Photos/TCDTBL-RW-56%5E-X-10FT.JPG,3M162755-ND,TCDTBL-24""X36""-6/PK,3M (TC),LIQUID PROTECTION FABRIC 24""X36"",30,0,"11.16000","0","1","-","Active","Self Stick Fabric","Liquids","24"" W x 36"" L, Adhesive Back, Blue, 6 Pieces"
-,//media.digikey.com/Photos/SCS/MFG_770756.jpg,SCP822-ND,770756,SCS,ADAPTER 100-240VAC 5VDC 1.0A,10,0,"15.11000","0","1","-","Active","Adapter","EM Eye Meter, ESD Events Sensor","100 ~ 240VAC"
-,//media.digikey.com/Photos/SCS/770008.jpg,SCP743-ND,770008,SCS,TEST LEADS SRM,19,0,"15.38000","0","1","-","Active","Test Leads","SRMETER2","5' (1.5m), Shielded"
http://documents.desco.com/PDF/07430.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_07431.jpg,16-1423-ND,07431,Desco,BNDR 3-RING W/CLR PCKT 1'',13,0,"20.26000","0","1","-","Active","Binder","Paper, Protective Sleeves","Blue, Dissipative, Pockets"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-tf_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-TFFX10.JPG,1110-4160-ND,ER-TFFX10,Panasonic Industrial Automation Sales,REPLACE AIR FILTER - ER-TF 10PC,19,0,"21.00000","0","1","ER-TF","Active","Filter","-","-"
http://documents.mendapump.com/PDF/35890.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_35890.jpg,EB1571-ND,35890,MENDA/EasyBraid,DRINKING CUP STAINLESS STEEL,20,0,"24.49000","0","1","-","Active","Cup, Stainless Steel","-","-"
